word,pos,score
편하다,Adjective,0.7
잡아먹히다,Verb,-0.325
두텁다,Adjective,0.375
갑갑하다,Adjective,-0.475
무덥다,Adjective,-0.025
번하다,Adjective,0.05
묽다,Adjective,0
씹히다,Verb,-0.375
불가능하다,Adjective,-0.575
결연하다,Adjective,0.05
헤아리다,Verb,0.35
야만스럽다,Adjective,-0.475
얽히다,Verb,-0.125
벗다,Verb,0.15
배고프다,Adjective,-0.175
빠지다,Verb,-0.175
주목할만하다,Adjective,0.5
마땅하다,Adjective,0.275
괴롭다,Adjective,-0.45
매만지다,Verb,0.2
얽다,Verb,0.125
힘들어하다,Verb,-0.475
물색하다,Verb,0.1
여리다,Adjective,0.15
공평하다,Adjective,0.475
믿음직하다,Adjective,0.65
이상하다,Adjective,-0.325
시끄럽다,Adjective,-0.375
음울하다,Adjective,-0.25
빨다,Verb,0.075
무너지다,Verb,-0.4
작작하다,Adjective,-0.05
돌이키다,Verb,0.1
풍만하다,Adjective,0.325
채다,Verb,0.075
들쑥날쑥하다,Adjective,-0.125
비틀리다,Verb,-0.4
환수하다,Verb,-0.075
자비롭다,Adjective,0.675
달아오르다,Verb,0.25
패배하다,Adjective,-0.5
떨구다,Verb,-0.35
흥미롭다,Adjective,0.525
보풀다,Verb,0.166666667
교묘하다,Adjective,-0.125
뒤따르다,Verb,0.075
굳히다,Verb,0.1
광대하다,Adjective,0.325
어두워지다,Verb,-0.25
차근하다,Adjective,0.3
호화롭다,Adjective,0.5
짓눌리다,Verb,-0.275
아우르다,Verb,0.325
뛰어다니다,Verb,0.25
지저분하다,Adjective,-0.35
어설프다,Adjective,-0.325
악하다,Adjective,-0.45
치받다,Verb,-0.083333333
수군대다,Verb,-0.325
사리다,Verb,-0.325
예사롭다,Adjective,0.275
맞대다,Verb,0.275
대접받다,Verb,0.45
부풀다,Verb,0
쓰라리다,Adjective,-0.35
썰리다,Verb,-0.45
높이다,Verb,0.25
앞세우다,Verb,0.275
빌붙다,Verb,-0.25
알맞다,Adjective,0.55
까발리다,Verb,-0.225
적정하다,Adjective,0.4
풍기다,Verb,0.325
불쌍하다,Adjective,-0.075
힘겹다,Adjective,-0.375
흘리다,Verb,0
연결하다,Adjective,0.325
허전하다,Verb,-0.225
잘맞다,Adjective,0.55
자애롭다,Adjective,0.725
뛰어놀다,Verb,0.6
드물다,Adjective,-0.1
떠나다,Verb,-0.175
두근거리다,Adjective,0.65
진귀하다,Adjective,0.5
생기다,Verb,0.45
담담하다,Adjective,0.125
되찾다,Verb,0.475
적당하다,Adjective,0.4
빗어주다,Verb,0.194444444
맡기다,Verb,0.3
나가떨어지다,Verb,-0.4
옮기다,Verb,0.275
아찔하다,Adjective,-0.1
꼴리다,Verb,-0.05
놀다,Verb,0.575
열일하다,Verb,0.325
정정당당하다,Adjective,0.625
다재다능하다,Adjective,0.75
암울하다,Adjective,-0.575
뒤틀리다,Verb,-0.525
띠이다,Verb,-0.05
오르다,Verb,0.3
바글바글하다,Verb,0
성스럽다,Adjective,0.625
구수하다,Adjective,0.4
보얗다,Adjective,0.175
돋보다,Verb,0.277777778
부유하다,Adjective,0.55
발랄하다,Adjective,0.55
높다,Adjective,0.35
물어보다,Verb,0.175
톡톡하다,Adjective,0.5
시기하다,Adjective,-0.325
부러워하다,Verb,0.15
새삼스럽다,Adjective,-0.075
굉장하다,Adjective,0.75
피곤하다,Adjective,-0.425
딱좋다,Adjective,0.75
날아오르다,Verb,0.55
무책임하다,Adjective,-0.35
나약하다,Adjective,-0.55
안타깝다,Adjective,-0.35
박히다,Verb,-0.05
못마땅하다,Adjective,-0.425
악랄하다,Adjective,-0.45
신선하다,Adjective,0.625
덜컹대다,Verb,-0.111111111
졸다,Verb,-0.175
등극하다,Verb,0.35
태연하다,Adjective,0.375
휘청이다,Verb,-0.325
물다,Verb,-0.25
빈약하다,Adjective,-0.375
콩닥콩닥하다,Verb,0.416666667
특출나다,Adjective,0.525
유효하다,Adjective,0.4
거슬리다,Verb,-0.25
당혹스럽다,Adjective,-0.325
눈뜨다,Verb,0.4
낮다,Adjective,-0.075
애처롭다,Adjective,-0.25
밀접하다,Adjective,0.325
부릅뜨다,Verb,-0.125
칭얼거리다,Verb,-0.475
찡찡거리다,Verb,-0.175
가라앉다,Verb,-0.05
어마어마하다,Adjective,0.325
난잡하다,Adjective,-0.225
예리하다,Adjective,0.3
독특하다,Adjective,0.425
극악하다,Adjective,-0.35
쫓겨나다,Verb,-0.375
같잖다,Adjective,-0.325
완벽하다,Adjective,0.75
조르다,Verb,-0.05
주요하다,Adjective,0.175
미워하다,Verb,-0.5
망가지다,Verb,-0.375
정해지다,Verb,0.35
살다,Verb,0.475
예쁘장하다,Adjective,0.65
경박하다,Adjective,-0.3
느닷없다,Adjective,-0.1
게으르다,Adjective,-0.4
불우하다,Adjective,-0.25
아프다,Adjective,-0.55
삼키다,Verb,-0.05
